edicao,variavel,valor,contagem,total_respondentes,pct_na_dimensao
2023-2024,cargo_atual,Analista de BI/BI Analyst,506,3857,13.1
2023-2024,cargo_atual,Analista de Dados/Data Analyst,907,3857,23.5
2023-2024,cargo_atual,Analista de Inteligência de Mercado/Market Intelligence,39,3857,1.0
2023-2024,cargo_atual,Analista de Negócios/Business Analyst,195,3857,5.1
2023-2024,cargo_atual,Analista de Suporte/Analista Técnico,72,3857,1.9
2023-2024,cargo_atual,Analytics Engineer,139,3857,3.6
2023-2024,cargo_atual,Cientista de Dados/Data Scientist,687,3857,17.8
2023-2024,cargo_atual,DBA/Administrador de Banco de Dados,20,3857,0.5
2023-2024,cargo_atual,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),81,3857,2.1
2023-2024,cargo_atual,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,105,3857,2.7
2023-2024,cargo_atual,Economista,5,3857,0.1
2023-2024,cargo_atual,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,684,3857,17.7
2023-2024,cargo_atual,Engenheiro de Machine Learning/ML Engineer/AI Engineer,75,3857,1.9
2023-2024,cargo_atual,Estatístico,21,3857,0.5
2023-2024,cargo_atual,Outra Opção,262,3857,6.8
2023-2024,cargo_atual,Outras Engenharias (não inclui dev),31,3857,0.8
2023-2024,cargo_atual,Professor/Pesquisador,28,3857,0.7
2024-2025,cargo_atual,Analista de BI/BI Analyst,396,3818,10.4
2024-2025,cargo_atual,Analista de Dados/Data Analyst,957,3818,25.1
2024-2025,cargo_atual,Analista de Negócios/Business Analyst,184,3818,4.8
2024-2025,cargo_atual,Analista de Suporte/Analista Técnico,79,3818,2.1
2024-2025,cargo_atual,Analytics Engineer,228,3818,6.0
2024-2025,cargo_atual,Arquiteto de Dados/Data Architect,48,3818,1.3
2024-2025,cargo_atual,Cientista de Dados/Data Scientist,687,3818,18.0
2024-2025,cargo_atual,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),80,3818,2.1
2024-2025,cargo_atual,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,122,3818,3.2
2024-2025,cargo_atual,Engenheiro de Dados/Data Engineer/Data Architect,613,3818,16.1
2024-2025,cargo_atual,Engenheiro de Machine Learning/ML Engineer/AI Engineer,103,3818,2.7
2024-2025,cargo_atual,Estatístico,17,3818,0.4
2024-2025,cargo_atual,Outra Opção,254,3818,6.7
2024-2025,cargo_atual,Outras Engenharias (não inclui dev),29,3818,0.8
2024-2025,cargo_atual,Professor/Pesquisador,21,3818,0.6
2025-2026,cargo_atual,Analista de BI/BI Analyst,215,2501,8.6
2025-2026,cargo_atual,Analista de Dados/Data Analyst,599,2501,24.0
2025-2026,cargo_atual,Analista de Negócios/Business Analyst,141,2501,5.6
2025-2026,cargo_atual,Analista de Suporte/Analista Técnico,55,2501,2.2
2025-2026,cargo_atual,Analytics Engineer,135,2501,5.4
2025-2026,cargo_atual,Arquiteto de Dados/Data Architect,28,2501,1.1
2025-2026,cargo_atual,Cientista de Dados/Data Scientist,424,2501,17.0
2025-2026,cargo_atual,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),33,2501,1.3
2025-2026,cargo_atual,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,106,2501,4.2
2025-2026,cargo_atual,Engenheiro de Dados/Data Engineer/Data Architect,402,2501,16.1
2025-2026,cargo_atual,Engenheiro de Machine Learning/ML Engineer/AI Engineer,106,2501,4.2
2025-2026,cargo_atual,Estatístico,9,2501,0.4
2025-2026,cargo_atual,Outra Opção,206,2501,8.2
2025-2026,cargo_atual,Outras Engenharias (não inclui dev),26,2501,1.0
2025-2026,cargo_atual,Professor/Pesquisador,16,2501,0.6
2023-2024,nivel,Júnior,1046,3857,27.1
2023-2024,nivel,Pleno,1392,3857,36.1
2023-2024,nivel,Sênior,1419,3857,36.8
2024-2025,nivel,Júnior,868,3818,22.7
2024-2025,nivel,Pleno,1377,3818,36.1
2024-2025,nivel,Sênior,1573,3818,41.2
2025-2026,nivel,Especialista/Staff+,349,2501,14.0
2025-2026,nivel,Júnior,518,2501,20.7
2025-2026,nivel,Pleno,776,2501,31.0
2025-2026,nivel,Sênior,858,2501,34.3
2024-2025,situacao_de_trabalho,Desempregado e não estou buscando recolocação,11,5217,0.2
2024-2025,situacao_de_trabalho,"Desempregado, buscando recolocação",205,5217,3.9
2024-2025,situacao_de_trabalho,Empreendedor ou Empregado (CNPJ),494,5217,9.5
2024-2025,situacao_de_trabalho,Empregado (CLT),3783,5217,72.5
2024-2025,situacao_de_trabalho,Estagiário,186,5217,3.6
2024-2025,situacao_de_trabalho,Freelancer,41,5217,0.8
2024-2025,situacao_de_trabalho,Prefiro não informar,16,5217,0.3
2024-2025,situacao_de_trabalho,Servidor Público,124,5217,2.4
2024-2025,situacao_de_trabalho,Somente Estudante (graduação),68,5217,1.3
2024-2025,situacao_de_trabalho,Somente Estudante (pós-graduação),25,5217,0.5
2024-2025,situacao_de_trabalho,Trabalho na área Acadêmica/Pesquisador,56,5217,1.1
2024-2025,situacao_de_trabalho,Vivo fora do Brasil e trabalho para empresa de fora do Brasil,77,5217,1.5
2024-2025,situacao_de_trabalho,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,131,5217,2.5
2025-2026,situacao_de_trabalho,Desempregado e não estou buscando recolocação,10,3495,0.3
2025-2026,situacao_de_trabalho,"Desempregado, buscando recolocação",167,3495,4.8
2025-2026,situacao_de_trabalho,Empreendedor ou Empregado (CNPJ),428,3495,12.2
2025-2026,situacao_de_trabalho,Empregado (CLT),2279,3495,65.2
