edicao,cargo_atual,nivel,variavel,valor,contagem,total_respondentes,pct_na_dimensao
2025-2026,Analista de Dados/Data Analyst,Júnior,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,28,145,19.3
2025-2026,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Sênior,faixa_salarial,Acima de R$ 40.001/mês,6,42,14.3
2025-2026,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,3,24,12.5
2025-2026,Analista de Negócios/Business Analyst,Especialista/Staff+,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,1,18,5.6
2025-2026,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,27,109,24.8
2025-2026,Analytics Engineer,Pleno,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,8,41,19.5
2025-2026,Arquiteto de Dados/Data Architect,Especialista/Staff+,faixa_salarial,Acima de R$ 40.001/mês,2,13,15.4
2025-2026,Cientista de Dados/Data Scientist,Sênior,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,2,147,1.4
2025-2026,Analista de Negócios/Business Analyst,Sênior,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,3,48,6.3
2025-2026,Analytics Engineer,Pleno,faixa_salarial,de R$ 16.001/mês a R$ 20.000/mês,1,41,2.4
2025-2026,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,1,41,2.4
2025-2026,Cientista de Dados/Data Scientist,Especialista/Staff+,faixa_salarial,Acima de R$ 40.001/mês,3,72,4.2
2025-2026,Professor/Pesquisador,Sênior,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,1,6,16.7
2025-2026,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Especialista/Staff+,faixa_salarial,Acima de R$ 40.001/mês,5,27,18.5
2025-2026,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,faixa_salarial,Acima de R$ 40.001/mês,4,41,9.8
2025-2026,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,50,109,45.9
2025-2026,Cientista de Dados/Data Scientist,Júnior,faixa_salarial,de R$ 8.001/mês a R$ 12.000/mês,19,65,29.2
2025-2026,Analista de Suporte/Analista Técnico,Sênior,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,1,15,6.7
2025-2026,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Júnior,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,4,21,19.0
2025-2026,Outra Opção,Especialista/Staff+,faixa_salarial,de R$ 20.001/mês a R$ 25.000/mês,6,22,27.3
2025-2026,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,2,109,1.8
