edicao,genero,variavel,valor,contagem,total_respondentes,pct_na_dimensao
2023-2024,Feminino,cargo_atual,Analista de BI/BI Analyst,108,943,11.5
2023-2024,Feminino,cargo_atual,Analista de Dados/Data Analyst,259,943,27.5
2023-2024,Feminino,cargo_atual,Analista de Inteligência de Mercado/Market Intelligence,14,943,1.5
2023-2024,Feminino,cargo_atual,Analista de Negócios/Business Analyst,67,943,7.1
2023-2024,Feminino,cargo_atual,Analista de Suporte/Analista Técnico,17,943,1.8
2023-2024,Feminino,cargo_atual,Analytics Engineer,33,943,3.5
2023-2024,Feminino,cargo_atual,Cientista de Dados/Data Scientist,154,943,16.3
2023-2024,Feminino,cargo_atual,DBA/Administrador de Banco de Dados,5,943,0.5
2023-2024,Feminino,cargo_atual,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),31,943,3.3
2023-2024,Feminino,cargo_atual,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,21,943,2.2
2023-2024,Feminino,cargo_atual,Economista,1,943,0.1
2023-2024,Feminino,cargo_atual,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,125,943,13.3
2023-2024,Feminino,cargo_atual,Engenheiro de Machine Learning/ML Engineer/AI Engineer,9,943,1.0
2023-2024,Feminino,cargo_atual,Estatístico,6,943,0.6
2023-2024,Feminino,cargo_atual,Outra Opção,81,943,8.6
2023-2024,Feminino,cargo_atual,Outras Engenharias (não inclui dev),7,943,0.7
2023-2024,Feminino,cargo_atual,Professor/Pesquisador,5,943,0.5
2023-2024,Masculino,cargo_atual,Analista de BI/BI Analyst,397,2896,13.7
2023-2024,Masculino,cargo_atual,Analista de Dados/Data Analyst,645,2896,22.3
2023-2024,Masculino,cargo_atual,Analista de Inteligência de Mercado/Market Intelligence,25,2896,0.9
2023-2024,Masculino,cargo_atual,Analista de Negócios/Business Analyst,128,2896,4.4
2023-2024,Masculino,cargo_atual,Analista de Suporte/Analista Técnico,55,2896,1.9
2023-2024,Masculino,cargo_atual,Analytics Engineer,105,2896,3.6
2023-2024,Masculino,cargo_atual,Cientista de Dados/Data Scientist,528,2896,18.2
2023-2024,Masculino,cargo_atual,DBA/Administrador de Banco de Dados,15,2896,0.5
2023-2024,Masculino,cargo_atual,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),50,2896,1.7
2023-2024,Masculino,cargo_atual,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,84,2896,2.9
2023-2024,Masculino,cargo_atual,Economista,4,2896,0.1
2023-2024,Masculino,cargo_atual,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,557,2896,19.2
2023-2024,Masculino,cargo_atual,Engenheiro de Machine Learning/ML Engineer/AI Engineer,64,2896,2.2
2023-2024,Masculino,cargo_atual,Estatístico,13,2896,0.4
2023-2024,Masculino,cargo_atual,Outra Opção,179,2896,6.2
2023-2024,Masculino,cargo_atual,Outras Engenharias (não inclui dev),24,2896,0.8
2023-2024,Masculino,cargo_atual,Professor/Pesquisador,23,2896,0.8
2023-2024,Outro,cargo_atual,Analista de BI/BI Analyst,1,7,14.3
2023-2024,Outro,cargo_atual,Analista de Dados/Data Analyst,2,7,28.6
2023-2024,Outro,cargo_atual,Analytics Engineer,1,7,14.3
2023-2024,Outro,cargo_atual,Engenheiro de Machine Learning/ML Engineer/AI Engineer,1,7,14.3
2023-2024,Outro,cargo_atual,Outra Opção,2,7,28.6
2023-2024,Prefiro não informar,cargo_atual,Analista de Dados/Data Analyst,1,11,9.1
2023-2024,Prefiro não informar,cargo_atual,Cientista de Dados/Data Scientist,5,11,45.5
2023-2024,Prefiro não informar,cargo_atual,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,2,11,18.2
2023-2024,Prefiro não informar,cargo_atual,Engenheiro de Machine Learning/ML Engineer/AI Engineer,1,11,9.1
2023-2024,Prefiro não informar,cargo_atual,Estatístico,2,11,18.2
2024-2025,Feminino,cargo_atual,Analista de BI/BI Analyst,94,943,10.0
2024-2025,Feminino,cargo_atual,Analista de Dados/Data Analyst,286,943,30.3
2024-2025,Feminino,cargo_atual,Analista de Negócios/Business Analyst,61,943,6.5
2024-2025,Feminino,cargo_atual,Analista de Suporte/Analista Técnico,19,943,2.0
2024-2025,Feminino,cargo_atual,Analytics Engineer,62,943,6.6
2024-2025,Feminino,cargo_atual,Arquiteto de Dados/Data Architect,7,943,0.7
2024-2025,Feminino,cargo_atual,Cientista de Dados/Data Scientist,161,943,17.1
2024-2025,Feminino,cargo_atual,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),35,943,3.7
2024-2025,Feminino,cargo_atual,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,20,943,2.1
2024-2025,Feminino,cargo_atual,Engenheiro de Dados/Data Engineer/Data Architect,85,943,9.0
2024-2025,Feminino,cargo_atual,Engenheiro de Machine Learning/ML Engineer/AI Engineer,22,943,2.3
2024-2025,Feminino,cargo_atual,Estatístico,5,943,0.5
2024-2025,Feminino,cargo_atual,Outra Opção,79,943,8.4
2024-2025,Feminino,cargo_atual,Outras Engenharias (não inclui dev),3,943,0.3
2024-2025,Feminino,cargo_atual,Professor/Pesquisador,4,943,0.4
2024-2025,Masculino,cargo_atual,Analista de BI/BI Analyst,301,2858,10.5
2024-2025,Masculino,cargo_atual,Analista de Dados/Data Analyst,670,2858,23.4
2024-2025,Masculino,cargo_atual,Analista de Negócios/Business Analyst,121,2858,4.2
2024-2025,Masculino,cargo_atual,Analista de Suporte/Analista Técnico,59,2858,2.1
2024-2025,Masculino,cargo_atual,Analytics Engineer,163,2858,5.7
2024-2025,Masculino,cargo_atual,Arquiteto de Dados/Data Architect,41,2858,1.4
2024-2025,Masculino,cargo_atual,Cientista de Dados/Data Scientist,521,2858,18.2
2024-2025,Masculino,cargo_atual,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),45,2858,1.6
2024-2025,Masculino,cargo_atual,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,102,2858,3.6
2024-2025,Masculino,cargo_atual,Engenheiro de Dados/Data Engineer/Data Architect,524,2858,18.3
2024-2025,Masculino,cargo_atual,Engenheiro de Machine Learning/ML Engineer/AI Engineer,81,2858,2.8
