edicao,opcao,elegiveis,selecionaram,pct_adocao,categoria
2023-2024,sql,3772,3156.0,83.7,linguagem_de_programacao
2023-2024,python,3772,2825.0,74.9,linguagem_de_programacao
2023-2024,r,3772,408.0,10.8,linguagem_de_programacao
2023-2024,java,3772,355.0,9.4,linguagem_de_programacao
2023-2024,nao_utilizo_nenhuma_das_linguagens_listadas,3772,305.0,8.1,linguagem_de_programacao
2023-2024,visual_basic_vba,3772,285.0,7.6,linguagem_de_programacao
2023-2024,javascript,3772,282.0,7.5,linguagem_de_programacao
2023-2024,sas_stata,3772,151.0,4.0,linguagem_de_programacao
2023-2024,scala,3772,131.0,3.5,linguagem_de_programacao
2023-2024,c_c++_c#,3772,70.0,1.9,linguagem_de_programacao
2023-2024,php,3772,56.0,1.5,linguagem_de_programacao
2023-2024,net,3772,40.0,1.1,linguagem_de_programacao
2023-2024,matlab,3772,30.0,0.8,linguagem_de_programacao
2023-2024,julia,3772,8.0,0.2,linguagem_de_programacao
2023-2024,rust,3772,7.0,0.2,linguagem_de_programacao
2024-2025,sql,3589,3146.0,87.7,linguagem_de_programacao
2024-2025,python,3589,2935.0,81.8,linguagem_de_programacao
2024-2025,r,3589,352.0,9.8,linguagem_de_programacao
2024-2025,java,3589,291.0,8.1,linguagem_de_programacao
2024-2025,javascript,3589,223.0,6.2,linguagem_de_programacao
2024-2025,visual_basic_vba,3589,215.0,6.0,linguagem_de_programacao
2024-2025,sas_stata,3589,130.0,3.6,linguagem_de_programacao
2024-2025,scala,3589,126.0,3.5,linguagem_de_programacao
2024-2025,c_c++_c#,3589,46.0,1.3,linguagem_de_programacao
2024-2025,net,3589,31.0,0.9,linguagem_de_programacao
2024-2025,php,3589,34.0,0.9,linguagem_de_programacao
2024-2025,matlab,3589,20.0,0.6,linguagem_de_programacao
2024-2025,rust,3589,12.0,0.3,linguagem_de_programacao
2024-2025,julia,3589,6.0,0.2,linguagem_de_programacao
2024-2025,nao_utilizo_nenhuma_das_linguagens_listadas,3589,0.0,0.0,linguagem_de_programacao
2024-2025,postgresql,3589,1127.0,31.4,banco_de_dados
2024-2025,databricks,3589,1116.0,31.1,banco_de_dados
2024-2025,sql_server,3589,1053.0,29.3,banco_de_dados
2024-2025,google_bigquery,3589,942.0,26.2,banco_de_dados
2024-2025,s3,3589,849.0,23.7,banco_de_dados
2024-2025,mysql,3589,834.0,23.2,banco_de_dados
2024-2025,oracle,3589,643.0,17.9,banco_de_dados
2024-2025,amazon_athena,3589,504.0,14.0,banco_de_dados
2024-2025,mongodb,3589,411.0,11.5,banco_de_dados
2024-2025,amazon_redshift,3589,365.0,10.2,banco_de_dados
2024-2025,hive,3589,265.0,7.4,banco_de_dados
2024-2025,amazon_aurora_ou_rds,3589,238.0,6.6,banco_de_dados
2024-2025,dynamodb,3589,233.0,6.5,banco_de_dados
2024-2025,sqlite,3589,225.0,6.3,banco_de_dados
2024-2025,snowflake,3589,224.0,6.2,banco_de_dados
2024-2025,sap_hana,3589,192.0,5.3,banco_de_dados
2024-2025,elasticsearch,3589,154.0,4.3,banco_de_dados
2024-2025,presto,3589,150.0,4.2,banco_de_dados
2024-2025,mariadb,3589,129.0,3.6,banco_de_dados
2024-2025,microsoft_access,3589,119.0,3.3,banco_de_dados
2024-2025,redis,3589,115.0,3.2,banco_de_dados
2024-2025,db2,3589,78.0,2.2,banco_de_dados
2024-2025,firebase,3589,73.0,2.0,banco_de_dados
2024-2025,google_firestore,3589,56.0,1.6,banco_de_dados
2024-2025,neo4j,3589,53.0,1.5,banco_de_dados
2024-2025,cassandra,3589,41.0,1.1,banco_de_dados
2024-2025,firebird,3589,39.0,1.1,banco_de_dados
2024-2025,splunk,3589,24.0,0.7,banco_de_dados
2024-2025,hbase,3589,23.0,0.6,banco_de_dados
2024-2025,sybase,3589,20.0,0.6,banco_de_dados
2024-2025,datomic,3589,17.0,0.5,banco_de_dados
2024-2025,vertica,3589,9.0,0.3,banco_de_dados
2024-2025,coachdb,3589,7.0,0.2,banco_de_dados
2025-2026,postgresql,2096,771.0,36.8,banco_de_dados
2025-2026,sql_server,2096,702.0,33.5,banco_de_dados
2025-2026,databricks,2096,689.0,32.9,banco_de_dados
2025-2026,s3,2096,604.0,28.8,banco_de_dados
