edicao,regiao_onde_mora,nivel,modelo_de_trabalho_atual,variavel,valor,contagem,total_respondentes,pct_na_dimensao
2024-2025,Centro-oeste,Júnior,Modelo 100% presencial,faixa_salarial,Menos de R$ 1.000/mês,3,40,7.5
2024-2025,Centro-oeste,Júnior,Modelo 100% presencial,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,11,40,27.5
2024-2025,Centro-oeste,Júnior,Modelo 100% presencial,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,11,40,27.5
2024-2025,Centro-oeste,Júnior,Modelo 100% presencial,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,7,40,17.5
2024-2025,Centro-oeste,Júnior,Modelo 100% presencial,faixa_salarial,de R$ 30.001/mês a R$ 40.000/mês,1,40,2.5
2024-2025,Centro-oeste,Júnior,Modelo 100% presencial,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,5,40,12.5
2024-2025,Centro-oeste,Júnior,Modelo 100% presencial,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,2,40,5.0
2024-2025,Centro-oeste,Júnior,Modelo 100% remoto,faixa_salarial,Menos de R$ 1.000/mês,1,21,4.8
2024-2025,Centro-oeste,Júnior,Modelo 100% remoto,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,3,21,14.3
2024-2025,Centro-oeste,Júnior,Modelo 100% remoto,faixa_salarial,de R$ 12.001/mês a R$ 16.000/mês,2,21,9.5
2024-2025,Centro-oeste,Júnior,Modelo 100% remoto,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,2,21,9.5
2024-2025,Centro-oeste,Júnior,Modelo 100% remoto,faixa_salarial,de R$ 3.001/mês a R$ 4.000/mês,3,21,14.3
2024-2025,Centro-oeste,Júnior,Modelo 100% remoto,faixa_salarial,de R$ 4.001/mês a R$ 6.000/mês,7,21,33.3
2024-2025,Centro-oeste,Júnior,Modelo 100% remoto,faixa_salarial,de R$ 6.001/mês a R$ 8.000/mês,3,21,14.3
2024-2025,Centro-oeste,Júnior,Modelo híbrido com dias fixos de trabalho presencial,faixa_salarial,de R$ 1.001/mês a R$ 2.000/mês,2,6,33.3
2024-2025,Centro-oeste,Júnior,Modelo híbrido com dias fixos de trabalho presencial,faixa_salarial,de R$ 2.001/mês a R$ 3.000/mês,1,6,16.7
