coluna_2024_2025,coluna_2023_2024,metodo_2023_2024,score_2023_2024,confianca_2023_2024,coluna_2025_2026,metodo_2025_2026,score_2025_2026,confianca_2025_2026,status_revisao_2023_2024
experiencia_profissional_prejudicada_nao_acredito_que_minha_experiencia_profissional_seja_afetada,experiencia_profissional_prejudicada_nao_acredito_que_minha_experiencia_profissional_seja_afetada,exato,1.0,alta,experiencia_profissional_prejudicada_nao_acredito_que_minha_experiencia_profissional_seja_afetada,exato,1.0,alta,
experiencia_profissional_prejudicada_sim_devido_a_minha_cor_raca_etnia,experiencia_profissional_prejudicada_experiencia_prejudicada_devido_a_minha_cor_raca_etnia,fuzzy,0.85,alta,experiencia_profissional_prejudicada_sim_devido_a_minha_cor_raca_etnia,exato,1.0,alta,
experiencia_profissional_prejudicada_sim_devido_a_minha_identidade_de_genero,experiencia_profissional_prejudicada_experiencia_prejudicada_devido_a_minha_identidade_de_genero,fuzzy,0.86,alta,experiencia_profissional_prejudicada_sim_devido_a_minha_identidade_de_genero,exato,1.0,alta,
experiencia_profissional_prejudicada_sim_devido_ao_fato_de_ser_pcd,experiencia_profissional_prejudicada_experiencia_prejudicada_devido_ao_fato_de_ser_pcd,fuzzy,0.84,media,experiencia_profissional_prejudicada_sim_devido_ao_fato_de_ser_pcd,exato,1.0,alta,
aspectos_prejudicados_quantidade_de_oportunidades_de_emprego_vagas_recebidas,aspectos_prejudicados_quantidade_de_oportunidades_de_emprego_vagas_recebidas,exato,1.0,alta,aspectos_prejudicados_quantidade_de_oportunidades_de_emprego_vagas_recebidas,exato,1.0,alta,
aspectos_prejudicados_senioridade_das_vagas_recebidas_em_relacao_a_sua_experiencia,aspectos_prejudicados_senioridade_das_vagas_recebidas_em_relacao_a_sua_experiencia,exato,1.0,alta,aspectos_prejudicados_senioridade_das_vagas_recebidas_em_relacao_a_sua_experiencia,exato,1.0,alta,
aspectos_prejudicados_aprovacao_em_processos_seletivos_entrevistas,aspectos_prejudicados_aprovacao_em_processos_seletivos_entrevistas,exato,1.0,alta,aspectos_prejudicados_aprovacao_em_processos_seletivos_entrevistas,exato,1.0,alta,
aspectos_prejudicados_oportunidades_de_progressao_de_carreira,aspectos_prejudicados_oportunidades_de_progressao_de_carreira,exato,1.0,alta,aspectos_prejudicados_oportunidades_de_progressao_de_carreira,exato,1.0,alta,
aspectos_prejudicados_velocidade_de_progressao_de_carreira,aspectos_prejudicados_velocidade_de_progressao_de_carreira,exato,1.0,alta,aspectos_prejudicados_velocidade_de_progressao_de_carreira,exato,1.0,alta,
aspectos_prejudicados_nivel_de_cobranca_no_trabalho_stress_no_trabalho,aspectos_prejudicados_nivel_de_cobranca_no_trabalho_stress_no_trabalho,exato,1.0,alta,aspectos_prejudicados_nivel_de_cobranca_no_trabalho_stress_no_trabalho,exato,1.0,alta,
aspectos_prejudicados_atencao_dada_pelas_pessoas_diante_das_minhas_opinioes_e_ideias,aspectos_prejudicados_atencao_dada_diante_das_minhas_opinioes_e_ideias,fuzzy,0.91,alta,aspectos_prejudicados_atencao_dada_pelas_pessoas_diante_das_minhas_opinioes_e_ideias,exato,1.0,alta,
aspectos_prejudicados_relacao_com_outras_pessoas_da_empresa_em_momentos_de_trabalho,aspectos_prejudicados_relacao_com_outros_membros_da_empresa_em_momentos_de_trabalho,fuzzy,0.94,alta,aspectos_prejudicados_relacao_com_outras_pessoas_da_empresa_em_momentos_de_trabalho,exato,1.0,alta,
aspectos_prejudicados_relacao_com_outras_pessoas_da_empresa_em_momentos_de_integracao_e_outros_momentos_fora_do_trabalho,aspectos_prejudicados_relacao_com_outros_membros_da_empresa_em_momentos_de_integracao_e_outros_momentos_fora_do_trabalho,fuzzy,0.96,alta,aspectos_prejudicados_relacao_com_outras_pessoas_da_empresa_em_momentos_de_integracao_e_outros_momentos_fora_do_trabalho,exato,1.0,alta,
motivo_insatisfacao_remuneracao_salario,,sem_correspondencia,0.0,,motivo_insatisfacao_remuneracao_salario,exato,1.0,alta,
motivo_insatisfacao_beneficios,,sem_correspondencia,0.0,,motivo_insatisfacao_beneficios,exato,1.0,alta,
motivo_insatisfacao_proposito_do_trabalho_e_da_empresa,,sem_correspondencia,0.0,,motivo_insatisfacao_proposito_do_trabalho_e_da_empresa,exato,1.0,alta,
motivo_insatisfacao_flexibilidade_de_trabalho_remoto,,sem_correspondencia,0.0,,motivo_insatisfacao_flexibilidade_de_trabalho_remoto,exato,1.0,alta,
motivo_insatisfacao_ambiente_e_clima_de_trabalho,,sem_correspondencia,0.0,,motivo_insatisfacao_ambiente_e_clima_de_trabalho,exato,1.0,alta,
motivo_insatisfacao_oportunidade_de_aprendizado_e_trabalhar_com_referencias,,sem_correspondencia,0.0,,motivo_insatisfacao_oportunidade_de_aprendizado_e_trabalhar_com_referencias,exato,1.0,alta,
motivo_insatisfacao_oportunidades_de_crescimento,,sem_correspondencia,0.0,,motivo_insatisfacao_oportunidades_de_crescimento,exato,1.0,alta,
motivo_insatisfacao_maturidade_da_empresa_em_termos_de_tecnologia_e_dados,,sem_correspondencia,0.0,,motivo_insatisfacao_maturidade_da_empresa_em_termos_de_tecnologia_e_dados,exato,1.0,alta,
motivo_insatisfacao_relacao_com_os_gestores_e_lideres,,sem_correspondencia,0.0,,motivo_insatisfacao_relacao_com_os_gestores_e_lideres,exato,1.0,alta,
motivo_insatisfacao_reputacao_que_a_empresa_tem_no_mercado,,sem_correspondencia,0.0,,motivo_insatisfacao_reputacao_que_a_empresa_tem_no_mercado,exato,1.0,alta,
motivo_insatisfacao_gostaria_de_trabalhar_em_outra_area,qual_o_principal_motivo_da_sua_insatisfacao_com_a_empresa_atual_gostaria_de_trabalhar_em_em_outra_area_de_atuacao,fuzzy,0.65,baixa,motivo_insatisfacao_gostaria_de_trabalhar_em_outra_area,exato,1.0,alta,aprovado_manual
