edicao,coluna,tipo,pct_nulo,classificacao_nulo
2023-2024,qual_oportunidade_voce_esta_buscando,categorica_escolha_unica,94.6,condicional_ao_perfil
2023-2024,ha_quanto_tempo_voce_busca_uma_oportunidade_na_area_de_dados,categorica_escolha_unica,94.6,condicional_ao_perfil
2023-2024,como_tem_sido_a_busca_por_um_emprego_na_area_de_dados,categorica_escolha_unica,94.6,condicional_ao_perfil
2023-2024,qual_seu_objetivo_na_area_de_dados,categorica_escolha_unica,90.1,condicional_ao_perfil
2023-2024,quais_as_ferramentas_de_gestao_de_qualidade_de_dados_metadados_e_catalogo_de_dados_voce_utiliza_no_trabalho,categorica_escolha_unica,89.5,condicional_ao_perfil
2023-2024,qual_tecnologia_utilizada_como_plataforma_do_data_lake,categorica_escolha_unica,86.0,condicional_ao_perfil
2023-2024,qual_tecnologia_utilizada_como_plataforma_do_data_warehouse,categorica_escolha_unica,86.0,condicional_ao_perfil
2023-2024,quais_das_opcoes_abaixo_fazem_parte_da_sua_rotina_no_trabalho_atual_com_ciencia_de_dados_estudos_ad-hoc_com_o_objetivo_de_confirmar_hipoteses_realizar_modelos_preditivos_forecasts_analise_de_cluster_para_resolver_problemas_pontuais_e_responder_perguntas_das_areas_de_negocio,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_das_opcoes_abaixo_fazem_parte_da_sua_rotina_no_trabalho_atual_com_ciencia_de_dados_sou_responsavel_pela_coleta_e_limpeza_dos_dados_que_uso_para_analise_e_modelagem,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_das_opcoes_abaixo_fazem_parte_da_sua_rotina_no_trabalho_atual_com_ciencia_de_dados_sou_responsavel_por_entrar_em_contato_com_os_times_de_negocio_para_definicao_do_problema_identificar_a_solucao_e_apresentacao_de_resultados,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_das_opcoes_abaixo_fazem_parte_da_sua_rotina_no_trabalho_atual_com_ciencia_de_dados_desenvolvo_modelos_de_machine_learning_com_o_objetivo_de_colocar_em_producao_em_sistemas_produtos_de_dados,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_das_opcoes_abaixo_fazem_parte_da_sua_rotina_no_trabalho_atual_com_ciencia_de_dados_sou_responsavel_por_colocar_modelos_em_producao_criar_os_pipelines_de_dados_apis_de_consumo_e_monitoramento,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_das_opcoes_abaixo_fazem_parte_da_sua_rotina_no_trabalho_atual_com_ciencia_de_dados_cuido_da_manutencao_de_modelos_de_machine_learning_ja_em_producao_atuando_no_monitoramento_ajustes_e_refatoracao_quando_necessario,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_das_opcoes_abaixo_fazem_parte_da_sua_rotina_no_trabalho_atual_com_ciencia_de_dados_realizo_construcoes_de_dashboards_em_ferramentas_de_bi_como_powerbi_tableau_looker_qlik_etc,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_das_opcoes_abaixo_fazem_parte_da_sua_rotina_no_trabalho_atual_com_ciencia_de_dados_utilizo_ferramentas_avancadas_de_estatistica_como_sas_spss_stata_etc_para_realizar_analises_estatisticas_e_ajustar_modelos,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_das_opcoes_abaixo_fazem_parte_da_sua_rotina_no_trabalho_atual_com_ciencia_de_dados_crio_e_dou_manutencao_em_etls_dags_e_automacoes_de_pipelines_de_dados,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_das_opcoes_abaixo_fazem_parte_da_sua_rotina_no_trabalho_atual_com_ciencia_de_dados_crio_e_gerencio_solucoes_de_feature_store_e_cultura_de_mlops,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_das_opcoes_abaixo_fazem_parte_da_sua_rotina_no_trabalho_atual_com_ciencia_de_dados_sou_responsavel_por_criar_e_manter_a_infra_que_meus_modelos_e_solucoes_rodam_clusters_servidores_api_containers_etc,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_das_opcoes_abaixo_fazem_parte_da_sua_rotina_no_trabalho_atual_com_ciencia_de_dados_treino_e_aplico_llm's_para_solucionar_problemas_de_negocio,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_as_tecnicas_e_metodos_listados_abaixo_voce_costuma_utilizar_no_trabalho_utilizo_modelos_de_regressao_linear_logistica_glm,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_as_tecnicas_e_metodos_listados_abaixo_voce_costuma_utilizar_no_trabalho_utilizo_redes_neurais_ou_modelos_baseados_em_arvore_para_criar_modelos_de_classificacao,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_as_tecnicas_e_metodos_listados_abaixo_voce_costuma_utilizar_no_trabalho_desenvolvo_sistemas_de_recomendacao_recsys,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_as_tecnicas_e_metodos_listados_abaixo_voce_costuma_utilizar_no_trabalho_utilizo_metodos_estatisticos_bayesianos_para_analisar_dados,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_as_tecnicas_e_metodos_listados_abaixo_voce_costuma_utilizar_no_trabalho_utilizo_tecnicas_de_nlp_natural_language_processing_para_analisar_dados_nao-estruturados,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_as_tecnicas_e_metodos_listados_abaixo_voce_costuma_utilizar_no_trabalho_utilizo_metodos_estatisticos_classicos_testes_de_hipotese_analise_multivariada_sobrevivencia_dados_longitudinais_inferencia_estatistica_para_analisar_dados,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_as_tecnicas_e_metodos_listados_abaixo_voce_costuma_utilizar_no_trabalho_utilizo_cadeias_de_markov_ou_hmm's_para_realizar_analises_de_dados,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_as_tecnicas_e_metodos_listados_abaixo_voce_costuma_utilizar_no_trabalho_desenvolvo_tecnicas_de_clusterizacao_k-means_spectral_dbscan_etc,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_as_tecnicas_e_metodos_listados_abaixo_voce_costuma_utilizar_no_trabalho_realizo_previsoes_atraves_de_modelos_de_series_temporais_time_series,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_as_tecnicas_e_metodos_listados_abaixo_voce_costuma_utilizar_no_trabalho_utilizo_modelos_de_reinforcement_learning_aprendizado_por_reforco,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_as_tecnicas_e_metodos_listados_abaixo_voce_costuma_utilizar_no_trabalho_utilizo_modelos_de_machine_learning_para_deteccao_de_fraude,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_as_tecnicas_e_metodos_listados_abaixo_voce_costuma_utilizar_no_trabalho_utilizo_metodos_de_visao_computacional,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_as_tecnicas_e_metodos_listados_abaixo_voce_costuma_utilizar_no_trabalho_utilizo_modelos_de_deteccao_de_churn,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_as_tecnicas_e_metodos_listados_abaixo_voce_costuma_utilizar_no_trabalho_utilizo_llm's_para_solucionar_problemas_de_negocio,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,em_qual_das_opcoes_abaixo_voce_gasta_a_maior_parte_do_seu_tempo_no_trabalho_estudos_ad-hoc_com_o_objetivo_de_confirmar_hipoteses_realizar_modelos_preditivos_forecasts_analise_de_cluster_para_resolver_problemas_pontuais_e_responder_perguntas_das_areas_de_negocio,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,em_qual_das_opcoes_abaixo_voce_gasta_a_maior_parte_do_seu_tempo_no_trabalho_coletando_e_limpando_os_dados_que_uso_para_analise_e_modelagem,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,em_qual_das_opcoes_abaixo_voce_gasta_a_maior_parte_do_seu_tempo_no_trabalho_entrando_em_contato_com_os_times_de_negocio_para_definicao_do_problema_identificar_a_solucao_e_apresentacao_de_resultados,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,em_qual_das_opcoes_abaixo_voce_gasta_a_maior_parte_do_seu_tempo_no_trabalho_desenvolvendo_modelos_de_machine_learning_com_o_objetivo_de_colocar_em_producao_em_sistemas_produtos_de_dados,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,em_qual_das_opcoes_abaixo_voce_gasta_a_maior_parte_do_seu_tempo_no_trabalho_colocando_modelos_em_producao_criando_os_pipelines_de_dados_apis_de_consumo_e_monitoramento,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,em_qual_das_opcoes_abaixo_voce_gasta_a_maior_parte_do_seu_tempo_no_trabalho_cuidando_da_manutencao_de_modelos_de_machine_learning_ja_em_producao_atuando_no_monitoramento_ajustes_e_refatoracao_quando_necessario,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,em_qual_das_opcoes_abaixo_voce_gasta_a_maior_parte_do_seu_tempo_no_trabalho_realizando_construcoes_de_dashboards_em_ferramentas_de_bi_como_powerbi_tableau_looker_qlik_etc,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,em_qual_das_opcoes_abaixo_voce_gasta_a_maior_parte_do_seu_tempo_no_trabalho_utilizando_ferramentas_avancadas_de_estatistica_como_sas_spss_stata_etc_para_realizar_analises,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,em_qual_das_opcoes_abaixo_voce_gasta_a_maior_parte_do_seu_tempo_no_trabalho_criando_e_dando_manutencao_em_etls_dags_e_automacoes_de_pipelines_de_dados,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,em_qual_das_opcoes_abaixo_voce_gasta_a_maior_parte_do_seu_tempo_no_trabalho_criando_e_gerenciando_solucoes_de_feature_store_e_cultura_de_mlops,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,em_qual_das_opcoes_abaixo_voce_gasta_a_maior_parte_do_seu_tempo_no_trabalho_criando_e_mantendo_a_infra_que_meus_modelos_e_solucoes_rodam_clusters_servidores_api_containers_etc,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,em_qual_das_opcoes_abaixo_voce_gasta_a_maior_parte_do_seu_tempo_no_trabalho_treinando_e_aplicando_llm's_para_solucionar_problemas_de_negocio,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,quais_dessas_tecnologias_fazem_parte_do_seu_dia_a_dia_como_cientista_de_dados,categorica_escolha_unica,85.9,condicional_ao_perfil
2023-2024,ferramentas_de_bi_powerbi_looker_tableau_qlik_etc,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,planilhas_excel_google_sheets_etc,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,ambientes_de_desenvolvimento_local_r-studio_jupyterlab_anaconda,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,ambientes_de_desenvolvimento_na_nuvem_google_colab_aws_sagemaker_kaggle_notebooks_etc,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,ferramentas_de_automl_datarobot_h2o_auto-keras_etc,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
2023-2024,ferramentas_de_etl_apache_airflow_nifi_stitch_fivetran_pentaho_etc,binaria_multiselect,85.9,grupo_nao_exibido_ao_respondente
