cargo_harmonizado,2023-2024,2024-2025,2025-2026,variacao_pp
Engenheiro de Machine Learning/ML Engineer/AI Engineer,1.94,2.7,4.24,2.3
Analytics Engineer,3.6,5.97,5.4,1.8
Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,2.72,3.2,4.24,1.52
Outra Opção,6.79,6.65,8.24,1.45
Analista de Negócios/Business Analyst,5.06,4.82,5.64,0.58
Analista de Dados/Data Analyst,23.52,25.07,23.95,0.43
Analista de Suporte/Analista Técnico,1.87,2.07,2.2,0.33
Outras Engenharias (não inclui dev),0.8,0.76,1.04,0.24
Professor/Pesquisador,0.73,0.55,0.64,-0.09
Estatístico,0.54,0.45,0.36,-0.18
Engenharia e Arquitetura de Dados,17.73,17.31,17.19,-0.54
Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),2.1,2.1,1.32,-0.78
Cientista de Dados/Data Scientist,17.81,17.99,16.95,-0.86
Analista de BI/BI Analyst,13.12,10.37,8.6,-4.52
