valor,contagem,pct_na_dimensao
Finanças ou Bancos,598,18.5
Tecnologia/Fábrica de Software,563,17.4
Área de Consultoria,285,8.8
Outra Opção,243,7.5
Indústria,238,7.4
Varejo,181,5.6
Educação,163,5.0
Setor Público,136,4.2
Área da Saúde,128,4.0
Internet/Ecommerce,105,3.3
Marketing,93,2.9
Telecomunicação,75,2.3
Setor Alimentício,72,2.2
Agronegócios,66,2.0
Setor de Energia,58,1.8
Setor Automotivo,53,1.6
Setor Imobiliário/ Construção Civil,46,1.4
Entretenimento ou Esportes,43,1.3
Seguros ou Previdência,43,1.3
Filantropia/ONG's,22,0.7
Setor Farmaceutico,17,0.5
