valor,2023-2024,2024-2025,2025-2026,variacao_pp
Indústria,6.6,6.7,7.4,0.8
Internet/Ecommerce,2.7,3.1,3.3,0.6
Área de Consultoria,8.2,7.3,8.8,0.6
Educação,4.4,4.0,5.0,0.6
Marketing,2.4,2.3,2.9,0.5
Setor Automotivo,1.1,1.1,1.6,0.5
Setor Público,3.7,2.9,4.2,0.5
Outra Opção,7.2,6.8,7.5,0.3
Agronegócios,1.9,1.7,2.0,0.1
Filantropia/ONG's,0.6,0.3,0.7,0.1
Entretenimento ou Esportes,1.2,0.9,1.3,0.1
Setor Imobiliário/ Construção Civil,1.4,1.5,1.4,0.0
Setor de Energia,1.8,1.7,1.8,0.0
Setor Alimentício,2.3,2.9,2.2,-0.1
Seguros ou Previdência,1.4,1.3,1.3,-0.1
Telecomunicação,2.4,2.1,2.3,-0.1
Setor Farmaceutico,0.6,0.6,0.5,-0.1
Área da Saúde,4.2,4.0,4.0,-0.2
Tecnologia/Fábrica de Software,18.0,19.4,17.4,-0.6
Finanças ou Bancos,19.5,21.3,18.5,-1.0
Varejo,8.2,7.8,5.6,-2.6
