valor,2024-2025,2025-2026,variacao_pp
Empreendedor ou Empregado (CNPJ),9.5,12.2,2.7
Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,2.5,4.0,1.5
Servidor Público,2.4,3.5,1.1
"Desempregado, buscando recolocação",3.9,4.8,0.9
Vivo fora do Brasil e trabalho para empresa de fora do Brasil,1.5,1.9,0.4
Freelancer,0.8,1.1,0.3
Trabalho na área Acadêmica/Pesquisador,1.1,1.3,0.2
Prefiro não informar,0.3,0.5,0.2
Somente Estudante (pós-graduação),0.5,0.6,0.1
Desempregado e não estou buscando recolocação,0.2,0.3,0.1
Estagiário,3.6,3.6,0.0
Somente Estudante (graduação),1.3,1.0,-0.3
Empregado (CLT),72.5,65.2,-7.3
