edicao,cargo_harmonizado,mulheres,total_cargo,pct_feminino
2023-2024,Analista de BI/BI Analyst,108,506,21.3
2024-2025,Analista de BI/BI Analyst,94,396,23.7
2025-2026,Analista de BI/BI Analyst,49,215,22.8
2023-2024,Analista de Dados/Data Analyst,259,907,28.6
2024-2025,Analista de Dados/Data Analyst,286,957,29.9
2025-2026,Analista de Dados/Data Analyst,147,599,24.5
2023-2024,Analista de Negócios/Business Analyst,67,195,34.4
2024-2025,Analista de Negócios/Business Analyst,61,184,33.2
2025-2026,Analista de Negócios/Business Analyst,39,141,27.7
2023-2024,Analista de Suporte/Analista Técnico,17,72,23.6
2024-2025,Analista de Suporte/Analista Técnico,19,79,24.1
2025-2026,Analista de Suporte/Analista Técnico,8,55,14.5
2023-2024,Analytics Engineer,33,139,23.7
2024-2025,Analytics Engineer,62,228,27.2
2025-2026,Analytics Engineer,34,135,25.2
2023-2024,Cientista de Dados/Data Scientist,154,687,22.4
2024-2025,Cientista de Dados/Data Scientist,161,687,23.4
2025-2026,Cientista de Dados/Data Scientist,95,424,22.4
2023-2024,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),31,81,38.3
2024-2025,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),35,80,43.8
2025-2026,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),14,33,42.4
2023-2024,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,21,105,20.0
2024-2025,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,20,122,16.4
2025-2026,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,22,106,20.8
2023-2024,Engenharia e Arquitetura de Dados,125,684,18.3
2024-2025,Engenharia e Arquitetura de Dados,92,661,13.9
2025-2026,Engenharia e Arquitetura de Dados,76,430,17.7
2023-2024,Engenheiro de Machine Learning/ML Engineer/AI Engineer,9,75,12.0
2024-2025,Engenheiro de Machine Learning/ML Engineer/AI Engineer,22,103,21.4
2025-2026,Engenheiro de Machine Learning/ML Engineer/AI Engineer,16,106,15.1
2023-2024,Outras Engenharias (não inclui dev),7,31,22.6
2024-2025,Outras Engenharias (não inclui dev),3,29,10.3
2025-2026,Outras Engenharias (não inclui dev),1,26,3.8
