edicao,faixa_salarial,mulheres,total_faixa,pct_feminino
2023-2024,Menos de R$ 1.000/mês,10,30,33.3
2023-2024,de R$ 1.001/mês a R$ 2.000/mês,72,215,33.5
2023-2024,de R$ 2.001/mês a R$ 3.000/mês,76,288,26.4
2023-2024,de R$ 3.001/mês a R$ 4.000/mês,95,352,27.0
2023-2024,de R$ 4.001/mês a R$ 6.000/mês,181,745,24.3
2023-2024,de R$ 6.001/mês a R$ 8.000/mês,173,637,27.2
2023-2024,de R$ 8.001/mês a R$ 12.000/mês,242,1026,23.6
2023-2024,de R$ 12.001/mês a R$ 16.000/mês,148,650,22.8
2023-2024,de R$ 16.001/mês a R$ 20.000/mês,56,328,17.1
2023-2024,de R$ 20.001/mês a R$ 25.000/mês,22,195,11.3
2023-2024,de R$ 25.001/mês a R$ 30.000/mês,18,128,14.1
2023-2024,de R$ 30.001/mês a R$ 40.000/mês,7,86,8.1
2023-2024,Acima de R$ 40.001/mês,11,72,15.3
2024-2025,Menos de R$ 1.000/mês,6,33,18.2
2024-2025,de R$ 1.001/mês a R$ 2.000/mês,59,155,38.1
2024-2025,de R$ 2.001/mês a R$ 3.000/mês,57,237,24.1
2024-2025,de R$ 3.001/mês a R$ 4.000/mês,64,270,23.7
2024-2025,de R$ 4.001/mês a R$ 6.000/mês,156,593,26.3
2024-2025,de R$ 6.001/mês a R$ 8.000/mês,183,656,27.9
2024-2025,de R$ 8.001/mês a R$ 12.000/mês,294,1080,27.2
2024-2025,de R$ 12.001/mês a R$ 16.000/mês,152,716,21.2
2024-2025,de R$ 16.001/mês a R$ 20.000/mês,88,456,19.3
2024-2025,de R$ 20.001/mês a R$ 25.000/mês,32,246,13.0
2024-2025,de R$ 25.001/mês a R$ 30.000/mês,20,159,12.6
2024-2025,de R$ 30.001/mês a R$ 40.000/mês,23,158,14.6
2024-2025,Acima de R$ 40.001/mês,8,104,7.7
2025-2026,Menos de R$ 1.000/mês,6,21,28.6
2025-2026,de R$ 1.001/mês a R$ 2.000/mês,34,117,29.1
2025-2026,de R$ 2.001/mês a R$ 3.000/mês,41,130,31.5
2025-2026,de R$ 3.001/mês a R$ 4.000/mês,41,157,26.1
2025-2026,de R$ 4.001/mês a R$ 6.000/mês,79,344,23.0
2025-2026,de R$ 6.001/mês a R$ 8.000/mês,88,367,24.0
2025-2026,de R$ 8.001/mês a R$ 12.000/mês,154,708,21.8
2025-2026,de R$ 12.001/mês a R$ 16.000/mês,118,484,24.4
2025-2026,de R$ 16.001/mês a R$ 20.000/mês,65,323,20.1
2025-2026,de R$ 20.001/mês a R$ 25.000/mês,39,213,18.3
2025-2026,de R$ 25.001/mês a R$ 30.000/mês,14,134,10.4
2025-2026,de R$ 30.001/mês a R$ 40.000/mês,15,114,13.2
2025-2026,Acima de R$ 40.001/mês,8,115,7.0
