edicao,ranking,opcao,elegiveis,selecionaram,pct_adocao
2024-2025,1,postgresql,3589,1127.0,31.4
2024-2025,2,databricks,3589,1116.0,31.1
2024-2025,3,sql_server,3589,1053.0,29.3
2024-2025,4,google_bigquery,3589,942.0,26.2
2024-2025,5,s3,3589,849.0,23.7
2024-2025,6,mysql,3589,834.0,23.2
2024-2025,7,oracle,3589,643.0,17.9
2024-2025,8,amazon_athena,3589,504.0,14.0
2024-2025,9,mongodb,3589,411.0,11.5
2024-2025,10,amazon_redshift,3589,365.0,10.2
2024-2025,11,hive,3589,265.0,7.4
2024-2025,12,amazon_aurora_ou_rds,3589,238.0,6.6
2024-2025,13,dynamodb,3589,233.0,6.5
2024-2025,14,sqlite,3589,225.0,6.3
2024-2025,15,snowflake,3589,224.0,6.2
2024-2025,16,sap_hana,3589,192.0,5.3
2024-2025,17,elasticsearch,3589,154.0,4.3
2024-2025,18,presto,3589,150.0,4.2
2024-2025,19,mariadb,3589,129.0,3.6
2024-2025,20,microsoft_access,3589,119.0,3.3
2024-2025,21,redis,3589,115.0,3.2
2024-2025,22,db2,3589,78.0,2.2
2024-2025,23,firebase,3589,73.0,2.0
2024-2025,24,google_firestore,3589,56.0,1.6
2024-2025,25,neo4j,3589,53.0,1.5
2024-2025,26,cassandra,3589,41.0,1.1
2024-2025,27,firebird,3589,39.0,1.1
2024-2025,28,splunk,3589,24.0,0.7
2024-2025,29,hbase,3589,23.0,0.6
2024-2025,30,sybase,3589,20.0,0.6
2024-2025,31,datomic,3589,17.0,0.5
2024-2025,32,vertica,3589,9.0,0.3
2024-2025,33,coachdb,3589,7.0,0.2
2025-2026,1,postgresql,2096,771.0,36.8
2025-2026,2,sql_server,2096,702.0,33.5
2025-2026,3,databricks,2096,689.0,32.9
2025-2026,4,s3,2096,604.0,28.8
2025-2026,5,mysql,2096,598.0,28.5
2025-2026,6,google_bigquery,2096,566.0,27.0
2025-2026,7,oracle,2096,410.0,19.6
2025-2026,8,amazon_athena,2096,319.0,15.2
2025-2026,9,mongodb,2096,310.0,14.8
2025-2026,10,sqlite,2096,258.0,12.3
2025-2026,11,amazon_redshift,2096,231.0,11.0
2025-2026,12,snowflake,2096,191.0,9.1
2025-2026,13,amazon_aurora_ou_rds,2096,171.0,8.2
2025-2026,14,hive,2096,160.0,7.6
2025-2026,15,dynamodb,2096,159.0,7.6
2025-2026,16,redis,2096,130.0,6.2
2025-2026,17,sap_hana,2096,123.0,5.9
2025-2026,18,elasticsearch,2096,121.0,5.8
2025-2026,19,mariadb,2096,91.0,4.3
2025-2026,20,microsoft_access,2096,90.0,4.3
2025-2026,21,presto,2096,88.0,4.2
2025-2026,22,db2,2096,73.0,3.5
2025-2026,23,firebase,2096,65.0,3.1
2025-2026,24,neo4j,2096,40.0,1.9
2025-2026,25,google_firestore,2096,37.0,1.8
2025-2026,26,firebird,2096,31.0,1.5
2025-2026,27,cassandra,2096,30.0,1.4
2025-2026,28,splunk,2096,16.0,0.8
2025-2026,29,hbase,2096,15.0,0.7
2025-2026,30,datomic,2096,13.0,0.6
2025-2026,31,sybase,2096,13.0,0.6
2025-2026,32,vertica,2096,7.0,0.3
2025-2026,33,coachdb,2096,6.0,0.3
