edicao,ranking,opcao,elegiveis,selecionaram,pct_adocao
2024-2025,1,scripts_python,1669,845.0,50.6
2024-2025,2,sql_&_stored_procedures,1669,801.0,48.0
2024-2025,3,databricks,1669,380.0,22.8
2024-2025,4,nao_utilizo_ferramentas_de_etl,1669,267.0,16.0
2024-2025,5,apache_airflow,1669,151.0,9.0
2024-2025,6,sql_server_integration_services_ssis,1669,81.0,4.9
2024-2025,7,pentaho,1669,75.0,4.5
2024-2025,8,aws_glue,1669,68.0,4.1
2024-2025,9,qlik_sense,1669,52.0,3.1
2024-2025,10,google_dataflow,1669,41.0,2.5
2024-2025,11,alteryx,1669,36.0,2.2
2024-2025,12,knime,1669,29.0,1.7
2024-2025,13,sas_data_integration,1669,27.0,1.6
2024-2025,14,oracle_data_integrator,1669,17.0,1.0
2024-2025,15,ibm_datastage,1669,11.0,0.7
2024-2025,16,talend,1669,10.0,0.6
2024-2025,17,fivetran,1669,9.0,0.5
2024-2025,18,sap_bw_etl,1669,9.0,0.5
2024-2025,19,apache_nifi,1669,8.0,0.5
2024-2025,20,stitch,1669,3.0,0.2
2024-2025,21,luigi,1669,1.0,0.1
2025-2026,1,scripts_python,929,538.0,57.9
2025-2026,2,sql_&_stored_procedures,929,495.0,53.3
2025-2026,3,databricks,929,218.0,23.5
2025-2026,4,nao_utilizo_ferramentas_de_etl,929,130.0,14.0
2025-2026,5,apache_airflow,929,58.0,6.2
2025-2026,6,sql_server_integration_services_ssis,929,54.0,5.8
2025-2026,7,aws_glue,929,39.0,4.2
2025-2026,8,pentaho,929,26.0,2.8
2025-2026,9,qlik_sense,929,22.0,2.4
2025-2026,10,google_dataflow,929,20.0,2.2
2025-2026,11,alteryx,929,19.0,2.0
2025-2026,12,knime,929,18.0,1.9
2025-2026,13,sas_data_integration,929,15.0,1.6
2025-2026,14,oracle_data_integrator,929,11.0,1.2
2025-2026,15,fivetran,929,8.0,0.9
2025-2026,16,sap_bw_etl,929,8.0,0.9
2025-2026,17,talend,929,6.0,0.6
2025-2026,18,ibm_datastage,929,4.0,0.4
2025-2026,19,apache_nifi,929,3.0,0.3
2025-2026,20,stitch,929,3.0,0.3
