edicao,ranking,opcao,elegiveis,selecionaram,pct_adocao
2024-2025,1,scripts_python,929,761.0,81.9
2024-2025,2,sql_&_stored_procedures,929,641.0,69.0
2024-2025,3,apache_airflow,929,407.0,43.8
2024-2025,4,databricks,929,347.0,37.4
2024-2025,5,aws_glue,929,181.0,19.5
2024-2025,6,sql_server_integration_services_ssis,929,77.0,8.3
2024-2025,7,google_dataflow,929,74.0,8.0
2024-2025,8,pentaho,929,48.0,5.2
2024-2025,9,apache_nifi,929,41.0,4.4
2024-2025,10,oracle_data_integrator,929,28.0,3.0
2024-2025,11,fivetran,929,20.0,2.2
2024-2025,12,alteryx,929,14.0,1.5
2024-2025,13,nao_utilizo_ferramentas_de_etl,929,14.0,1.5
2024-2025,14,qlik_sense,929,14.0,1.5
2024-2025,15,sas_data_integration,929,14.0,1.5
2024-2025,16,ibm_datastage,929,10.0,1.1
2024-2025,17,knime,929,10.0,1.1
2024-2025,18,talend,929,9.0,1.0
2024-2025,19,sap_bw_etl,929,8.0,0.9
2024-2025,20,stitch,929,7.0,0.8
2024-2025,21,luigi,929,1.0,0.1
2025-2026,1,scripts_python,566,490.0,86.6
2025-2026,2,sql_&_stored_procedures,566,390.0,68.9
2025-2026,3,apache_airflow,566,244.0,43.1
2025-2026,4,databricks,566,209.0,36.9
2025-2026,5,aws_glue,566,123.0,21.7
2025-2026,6,google_dataflow,566,50.0,8.8
2025-2026,7,sql_server_integration_services_ssis,566,38.0,6.7
2025-2026,8,pentaho,566,32.0,5.7
2025-2026,9,apache_nifi,566,20.0,3.5
2025-2026,10,fivetran,566,20.0,3.5
2025-2026,11,alteryx,566,11.0,1.9
2025-2026,12,qlik_sense,566,10.0,1.8
2025-2026,13,stitch,566,10.0,1.8
2025-2026,14,knime,566,9.0,1.6
2025-2026,15,talend,566,8.0,1.4
2025-2026,16,oracle_data_integrator,566,7.0,1.2
2025-2026,17,sap_bw_etl,566,7.0,1.2
2025-2026,18,ibm_datastage,566,6.0,1.1
2025-2026,19,nao_utilizo_ferramentas_de_etl,566,6.0,1.1
2025-2026,20,sas_data_integration,566,4.0,0.7
