categoria,categoria_nome,opcao,primeira_edicao,ultima_edicao,qtd_edicoes,pct_inicio,pct_fim,variacao_pp
banco_de_dados,Bancos de Dados,sqlite,2024-2025,2025-2026,2,6.3,12.3,6.0
banco_de_dados,Bancos de Dados,postgresql,2024-2025,2025-2026,2,31.4,36.8,5.4
banco_de_dados,Bancos de Dados,mysql,2024-2025,2025-2026,2,23.2,28.5,5.3
banco_de_dados,Bancos de Dados,s3,2024-2025,2025-2026,2,23.7,28.8,5.1
banco_de_dados,Bancos de Dados,sql_server,2024-2025,2025-2026,2,29.3,33.5,4.2
banco_de_dados,Bancos de Dados,mongodb,2024-2025,2025-2026,2,11.5,14.8,3.3
banco_de_dados,Bancos de Dados,redis,2024-2025,2025-2026,2,3.2,6.2,3.0
banco_de_dados,Bancos de Dados,snowflake,2024-2025,2025-2026,2,6.2,9.1,2.9
banco_de_dados,Bancos de Dados,databricks,2024-2025,2025-2026,2,31.1,32.9,1.8
banco_de_dados,Bancos de Dados,oracle,2024-2025,2025-2026,2,17.9,19.6,1.7
banco_de_dados,Bancos de Dados,amazon_aurora_ou_rds,2024-2025,2025-2026,2,6.6,8.2,1.6
banco_de_dados,Bancos de Dados,elasticsearch,2024-2025,2025-2026,2,4.3,5.8,1.5
banco_de_dados,Bancos de Dados,db2,2024-2025,2025-2026,2,2.2,3.5,1.3
banco_de_dados,Bancos de Dados,amazon_athena,2024-2025,2025-2026,2,14.0,15.2,1.2
banco_de_dados,Bancos de Dados,firebase,2024-2025,2025-2026,2,2.0,3.1,1.1
banco_de_dados,Bancos de Dados,dynamodb,2024-2025,2025-2026,2,6.5,7.6,1.1
banco_de_dados,Bancos de Dados,microsoft_access,2024-2025,2025-2026,2,3.3,4.3,1.0
banco_de_dados,Bancos de Dados,google_bigquery,2024-2025,2025-2026,2,26.2,27.0,0.8
banco_de_dados,Bancos de Dados,amazon_redshift,2024-2025,2025-2026,2,10.2,11.0,0.8
banco_de_dados,Bancos de Dados,mariadb,2024-2025,2025-2026,2,3.6,4.3,0.7
banco_de_dados,Bancos de Dados,sap_hana,2024-2025,2025-2026,2,5.3,5.9,0.6
banco_de_dados,Bancos de Dados,firebird,2024-2025,2025-2026,2,1.1,1.5,0.4
banco_de_dados,Bancos de Dados,neo4j,2024-2025,2025-2026,2,1.5,1.9,0.4
banco_de_dados,Bancos de Dados,cassandra,2024-2025,2025-2026,2,1.1,1.4,0.3
