edicao,ranking,opcao,elegiveis,selecionaram,pct_adocao
2023-2024,1,microsoft_powerbi,3772,2154.0,57.1
2023-2024,2,looker,3772,898.0,23.8
2023-2024,3,looker_studiogoogle_data_studio,3772,653.0,17.3
2023-2024,4,nao_utilizo_nenhuma_ferramenta_de_bi_no_trabalho,3772,409.0,10.8
2023-2024,5,fazemos_todas_as_analises_utilizando_apenas_excel_ou_planilhas_do_google,3772,391.0,10.4
2023-2024,6,qlik_view_qlik_sense,3772,194.0,5.1
2023-2024,7,amazon_quicksight,3772,138.0,3.7
2023-2024,8,alteryx,3772,100.0,2.7
2023-2024,9,salesforce_einstein_analytics,3772,85.0,2.3
2023-2024,10,sas_visual_analytics,3772,85.0,2.3
2023-2024,11,sap_business_objects_sap_analytics,3772,80.0,2.1
2023-2024,12,redash,3772,62.0,1.6
2023-2024,13,oracle_business_intelligence,3772,49.0,1.3
2024-2025,1,microsoft_powerbi,3619,1996.0,55.2
2024-2025,2,looker,3619,831.0,23.0
2024-2025,3,tableau,3619,687.0,19.0
2024-2025,4,looker_studiogoogle_data_studio,3619,603.0,16.7
2024-2025,5,fazemos_todas_as_analises_utilizando_apenas_excel_ou_planilhas_do_google,3619,385.0,10.6
2024-2025,6,nao_utilizo_nenhuma_ferramenta_de_bi_no_trabalho,3619,353.0,9.8
2024-2025,7,metabase,3619,318.0,8.8
2024-2025,8,grafana,3619,290.0,8.0
2024-2025,9,qlik_view_qlik_sense,3619,178.0,4.9
2024-2025,10,amazon_quicksight,3619,167.0,4.6
2024-2025,11,pentaho,3619,113.0,3.1
2024-2025,12,superset,3619,97.0,2.7
2024-2025,13,salesforce_einstein_analytics,3619,92.0,2.5
2024-2025,14,sas_visual_analytics,3619,74.0,2.0
2024-2025,15,alteryx,3619,72.0,2.0
2024-2025,16,redash,3619,55.0,1.5
2024-2025,17,sap_business_objects_sap_analytics,3619,55.0,1.5
2024-2025,18,oracle_business_intelligence,3619,36.0,1.0
2025-2026,1,microsoft_powerbi,2106,1243.0,59.0
2025-2026,2,looker,2106,475.0,22.6
2025-2026,3,looker_studiogoogle_data_studio,2106,328.0,15.6
2025-2026,4,tableau,2106,287.0,13.6
2025-2026,5,nao_utilizo_nenhuma_ferramenta_de_bi_no_trabalho,2106,240.0,11.4
2025-2026,6,fazemos_todas_as_analises_utilizando_apenas_excel_ou_planilhas_do_google,2106,217.0,10.3
2025-2026,7,grafana,2106,183.0,8.7
2025-2026,8,metabase,2106,177.0,8.4
2025-2026,9,amazon_quicksight,2106,143.0,6.8
2025-2026,10,qlik_view_qlik_sense,2106,91.0,4.3
2025-2026,11,pentaho,2106,67.0,3.2
2025-2026,12,superset,2106,67.0,3.2
2025-2026,13,sap_business_objects_sap_analytics,2106,51.0,2.4
2025-2026,14,alteryx,2106,43.0,2.0
2025-2026,15,salesforce_einstein_analytics,2106,43.0,2.0
2025-2026,16,sas_visual_analytics,2106,36.0,1.7
2025-2026,17,oracle_business_intelligence,2106,19.0,0.9
2025-2026,18,redash,2106,13.0,0.6
