edicao,ranking,opcao,elegiveis,selecionaram,pct_adocao
2023-2024,1,sql,3772,3156.0,83.7
2023-2024,2,python,3772,2825.0,74.9
2023-2024,3,r,3772,408.0,10.8
2023-2024,4,java,3772,355.0,9.4
2023-2024,5,nao_utilizo_nenhuma_das_linguagens_listadas,3772,305.0,8.1
2023-2024,6,visual_basic_vba,3772,285.0,7.6
2023-2024,7,javascript,3772,282.0,7.5
2023-2024,8,sas_stata,3772,151.0,4.0
2023-2024,9,scala,3772,131.0,3.5
2023-2024,10,c_c++_c#,3772,70.0,1.9
2023-2024,11,php,3772,56.0,1.5
2023-2024,12,net,3772,40.0,1.1
2023-2024,13,matlab,3772,30.0,0.8
2023-2024,14,julia,3772,8.0,0.2
2023-2024,15,rust,3772,7.0,0.2
2024-2025,1,sql,3589,3146.0,87.7
2024-2025,2,python,3589,2935.0,81.8
2024-2025,3,r,3589,352.0,9.8
2024-2025,4,java,3589,291.0,8.1
2024-2025,5,javascript,3589,223.0,6.2
2024-2025,6,visual_basic_vba,3589,215.0,6.0
2024-2025,7,sas_stata,3589,130.0,3.6
2024-2025,8,scala,3589,126.0,3.5
2024-2025,9,c_c++_c#,3589,46.0,1.3
2024-2025,10,php,3589,34.0,0.9
2024-2025,11,net,3589,31.0,0.9
2024-2025,12,matlab,3589,20.0,0.6
2024-2025,13,rust,3589,12.0,0.3
2024-2025,14,julia,3589,6.0,0.2
