edicao,categoria,categoria_nome,ranking,opcao,elegiveis,selecionaram,pct_adocao
2025-2026,banco_de_dados,Bancos de Dados,1,postgresql,2096,771.0,36.8
2025-2026,banco_de_dados,Bancos de Dados,2,sql_server,2096,702.0,33.5
2025-2026,banco_de_dados,Bancos de Dados,3,databricks,2096,689.0,32.9
2025-2026,banco_de_dados,Bancos de Dados,4,s3,2096,604.0,28.8
2025-2026,banco_de_dados,Bancos de Dados,5,mysql,2096,598.0,28.5
2025-2026,cloud,Cloud,1,amazon_web_services_aws,2096,1012.0,48.3
2025-2026,cloud,Cloud,2,azure_microsoft,2096,730.0,34.8
2025-2026,cloud,Cloud,3,google_cloud_gcp,2096,647.0,30.9
2025-2026,cloud,Cloud,4,servidores_on_premise_nao_utilizamos_cloud,2096,300.0,14.3
2025-2026,cloud,Cloud,5,cloud_propria,2096,114.0,5.4
2025-2026,ferramenta_etl_data_analyst,ETL - Data Analyst,1,scripts_python,929,538.0,57.9
2025-2026,ferramenta_etl_data_analyst,ETL - Data Analyst,2,sql_&_stored_procedures,929,495.0,53.3
2025-2026,ferramenta_etl_data_analyst,ETL - Data Analyst,3,databricks,929,218.0,23.5
2025-2026,ferramenta_etl_data_analyst,ETL - Data Analyst,4,nao_utilizo_ferramentas_de_etl,929,130.0,14.0
2025-2026,ferramenta_etl_data_analyst,ETL - Data Analyst,5,apache_airflow,929,58.0,6.2
2025-2026,ferramenta_etl_data_engineer,ETL - Data Engineer,1,scripts_python,566,490.0,86.6
2025-2026,ferramenta_etl_data_engineer,ETL - Data Engineer,2,sql_&_stored_procedures,566,390.0,68.9
2025-2026,ferramenta_etl_data_engineer,ETL - Data Engineer,3,apache_airflow,566,244.0,43.1
2025-2026,ferramenta_etl_data_engineer,ETL - Data Engineer,4,databricks,566,209.0,36.9
2025-2026,ferramenta_etl_data_engineer,ETL - Data Engineer,5,aws_glue,566,123.0,21.7
2025-2026,ferramenta_de_bi,Ferramentas de BI,1,microsoft_powerbi,2106,1243.0,59.0
2025-2026,ferramenta_de_bi,Ferramentas de BI,2,looker,2106,475.0,22.6
2025-2026,ferramenta_de_bi,Ferramentas de BI,3,looker_studiogoogle_data_studio,2106,328.0,15.6
2025-2026,ferramenta_de_bi,Ferramentas de BI,4,tableau,2106,287.0,13.6
2025-2026,ferramenta_de_bi,Ferramentas de BI,5,nao_utilizo_nenhuma_ferramenta_de_bi_no_trabalho,2106,240.0,11.4
2025-2026,linguagem_preferida_2025_2026,Linguagem Preferida,1,python,2096,1929.0,92.0
2025-2026,linguagem_preferida_2025_2026,Linguagem Preferida,2,sql,2096,1764.0,84.2
2025-2026,linguagem_preferida_2025_2026,Linguagem Preferida,3,r,2096,328.0,15.6
2025-2026,linguagem_preferida_2025_2026,Linguagem Preferida,4,scala,2096,70.0,3.3
2025-2026,linguagem_preferida_2025_2026,Linguagem Preferida,5,c_c++_c#,2096,49.0,2.3
