edicao,prioridade,contagem,total_respondentes,pct_na_dimensao,ordem
2024-2025,Principal prioridade,235,1045,22.5,1
2024-2025,Entre as principais prioridades,325,1045,31.1,2
2024-2025,Iniciativa secundária,301,1045,28.8,3
2024-2025,Não é prioridade,155,1045,14.8,4
2024-2025,Não sabe opinar,29,1045,2.8,5
2025-2026,Principal prioridade,155,652,23.8,1
2025-2026,Entre as principais prioridades,240,652,36.8,2
2025-2026,Iniciativa secundária,169,652,25.9,3
2025-2026,Não é prioridade,74,652,11.3,4
2025-2026,Não sabe opinar,14,652,2.1,5
