edicao;regiao_onde_mora;total_respondentes;faixa_salarial_mediana;faixa_salarial_p75;ordem_faixa_mediana;ordem_faixa_p75;ranking;status_amostra
2024-2025;Sudeste;2237;de R$ 8.001/mês a R$ 12.000/mês;de R$ 12.001/mês a R$ 16.000/mês;7;8;1;OK
2024-2025;Centro-oeste;240;de R$ 6.001/mês a R$ 8.000/mês;de R$ 8.001/mês a R$ 12.000/mês;6;7;2;OK
2024-2025;Nordeste;374;de R$ 6.001/mês a R$ 8.000/mês;de R$ 8.001/mês a R$ 12.000/mês;6;7;2;OK
2024-2025;Norte;50;de R$ 6.001/mês a R$ 8.000/mês;de R$ 8.001/mês a R$ 12.000/mês;6;7;2;OK
2024-2025;Sul;822;de R$ 6.001/mês a R$ 8.000/mês;de R$ 8.001/mês a R$ 12.000/mês;6;7;2;OK
2025-2026;Norte;32;de R$ 8.001/mês a R$ 12.000/mês;de R$ 16.001/mês a R$ 20.000/mês;7;9;1;OK
2025-2026;Centro-oeste;170;de R$ 8.001/mês a R$ 12.000/mês;de R$ 12.001/mês a R$ 16.000/mês;7;8;2;OK
2025-2026;Nordeste;266;de R$ 8.001/mês a R$ 12.000/mês;de R$ 12.001/mês a R$ 16.000/mês;7;8;2;OK
2025-2026;Sudeste;1547;de R$ 8.001/mês a R$ 12.000/mês;de R$ 12.001/mês a R$ 16.000/mês;7;8;2;OK
2025-2026;Sul;413;de R$ 8.001/mês a R$ 12.000/mês;de R$ 12.001/mês a R$ 16.000/mês;7;8;2;OK
