edicao;nivel;ordem_nivel;regiao_onde_mora;total_respondentes;faixa_salarial_mediana;faixa_salarial_p75;ordem_faixa_mediana;ordem_faixa_p75;ranking_no_nivel;status_amostra
2024-2025;Júnior;1;Sudeste;477;de R$ 3.001/mês a R$ 4.000/mês;de R$ 4.001/mês a R$ 6.000/mês;4;5;1;OK
2024-2025;Júnior;1;Sul;183;de R$ 3.001/mês a R$ 4.000/mês;de R$ 4.001/mês a R$ 6.000/mês;4;5;1;OK
2024-2025;Júnior;1;Centro-oeste;71;de R$ 2.001/mês a R$ 3.000/mês;de R$ 4.001/mês a R$ 6.000/mês;3;5;2;OK
2024-2025;Júnior;1;Nordeste;106;de R$ 2.001/mês a R$ 3.000/mês;de R$ 4.001/mês a R$ 6.000/mês;3;5;2;OK
2024-2025;Júnior;1;Norte;16;de R$ 2.001/mês a R$ 3.000/mês;de R$ 3.001/mês a R$ 4.000/mês;3;4;3;Amostra pequena (<30)
2024-2025;Pleno;2;Centro-oeste;92;de R$ 6.001/mês a R$ 8.000/mês;de R$ 8.001/mês a R$ 12.000/mês;6;7;1;OK
2024-2025;Pleno;2;Nordeste;141;de R$ 6.001/mês a R$ 8.000/mês;de R$ 8.001/mês a R$ 12.000/mês;6;7;1;OK
2024-2025;Pleno;2;Norte;15;de R$ 6.001/mês a R$ 8.000/mês;de R$ 8.001/mês a R$ 12.000/mês;6;7;1;Amostra pequena (<30)
2024-2025;Pleno;2;Sudeste;795;de R$ 6.001/mês a R$ 8.000/mês;de R$ 8.001/mês a R$ 12.000/mês;6;7;1;OK
2024-2025;Pleno;2;Sul;303;de R$ 6.001/mês a R$ 8.000/mês;de R$ 8.001/mês a R$ 12.000/mês;6;7;1;OK
2024-2025;Sênior;3;Centro-oeste;77;de R$ 12.001/mês a R$ 16.000/mês;de R$ 16.001/mês a R$ 20.000/mês;8;9;1;OK
2024-2025;Sênior;3;Nordeste;127;de R$ 12.001/mês a R$ 16.000/mês;de R$ 16.001/mês a R$ 20.000/mês;8;9;1;OK
2024-2025;Sênior;3;Norte;19;de R$ 12.001/mês a R$ 16.000/mês;de R$ 16.001/mês a R$ 20.000/mês;8;9;1;Amostra pequena (<30)
