categoria,ranking,opcao,elegiveis,selecionaram,pct_adocao
criterios_para_escolher_emprego,1,remuneracao_salario,3228,2686.0,83.2
criterios_para_escolher_emprego,2,flexibilidade_de_trabalho_remoto,3228,1827.0,56.6
criterios_para_escolher_emprego,3,plano_de_carreira_e_oportunidades_de_crescimento,3228,1044.0,32.3
criterios_para_escolher_emprego,4,beneficios,3228,791.0,24.5
criterios_para_escolher_emprego,5,oportunidade_de_aprendizado_e_trabalhar_com_referencias,3228,764.0,23.7
criterios_para_escolher_emprego,6,ambiente_e_clima_de_trabalho,3228,691.0,21.4
criterios_para_escolher_emprego,7,proposito_do_trabalho_e_da_empresa,3228,507.0,15.7
criterios_para_escolher_emprego,8,maturidade_da_empresa_em_termos_de_tecnologia_e_dados,3228,350.0,10.8
criterios_para_escolher_emprego,9,qualidade_dos_gestores_e_lideres,3228,260.0,8.1
criterios_para_escolher_emprego,10,reputacao_que_a_empresa_tem_no_mercado,3228,182.0,5.6
desafios_como_gestor,1,dividir_o_tempo_entre_entregas_tecnicas_e_gestao,652,237.0,36.3
desafios_como_gestor,2,gerenciar_a_expectativa_das_areas,652,217.0,33.3
desafios_como_gestor,3,gestao_de_projetos_envolvendo_areas_multidisciplinares,652,190.0,29.1
desafios_como_gestor,4,gerar_valor_para_as_areas_de_negocios,652,153.0,23.5
desafios_como_gestor,5,organizar_as_informacoes_com_qualidade_e_confiabilidade,652,141.0,21.6
desafios_como_gestor,6,garantir_a_manutencao_dos_projetos_e_modelos_em_producao,652,133.0,20.4
desafios_como_gestor,7,conseguir_levar_inovacao_para_a_empresa,652,122.0,18.7
desafios_como_gestor,8,garantir_roi_em_projetos_de_dados,652,88.0,13.5
desafios_como_gestor,9,gestao_de_equipes_no_ambiente_remoto,652,77.0,11.8
desafios_como_gestor,10,convencer_a_empresa_a_aumentar_investimentos,652,71.0,10.9
desafios_como_gestor,11,reter_talentos,652,62.0,9.5
desafios_como_gestor,12,contratar_talentos,652,55.0,8.4
desafios_como_gestor,13,processar_e_armazenar_um_alto_volume_de_dados,652,27.0,4.1
desafios_como_gestor,14,desenvolver_e_manter_modelos_machine_learning_em_producao,652,26.0,4.0
motivo_insatisfacao_profissional,1,remuneracao_salario,1002,454.0,45.3
motivo_insatisfacao_profissional,2,oportunidades_de_crescimento,1002,350.0,34.9
motivo_insatisfacao_profissional,3,oportunidade_de_aprendizado_e_trabalhar_com_referencias,1002,316.0,31.5
motivo_insatisfacao_profissional,4,maturidade_da_empresa_em_termos_de_tecnologia_e_dados,1002,259.0,25.8
motivo_insatisfacao_profissional,5,gostaria_de_trabalhar_em_outra_area,1002,198.0,19.8
motivo_insatisfacao_profissional,6,beneficios,1002,173.0,17.3
motivo_insatisfacao_profissional,7,flexibilidade_de_trabalho_remoto,1002,160.0,16.0
motivo_insatisfacao_profissional,8,proposito_do_trabalho_e_da_empresa,1002,121.0,12.1
motivo_insatisfacao_profissional,9,ambiente_e_clima_de_trabalho,1002,120.0,12.0
motivo_insatisfacao_profissional,10,relacao_com_os_gestores_e_lideres,1002,43.0,4.3
motivo_insatisfacao_profissional,11,reputacao_que_a_empresa_tem_no_mercado,1002,17.0,1.7
motivos_para_nao_usar_ia,1,falta_de_expertise_ou_falta_de_recursos,587,228.0,38.8
motivos_para_nao_usar_ia,2,dados_da_empresa_nao_estao_prontos_para_uso_de_ia_generativa,587,216.0,36.8
motivos_para_nao_usar_ia,3,falta_de_compreensao_dos_casos_de_uso,587,188.0,32.0
motivos_para_nao_usar_ia,4,retorno_sobre_investimento_roi_nao_comprovado_de_ia_generativa,587,167.0,28.4
motivos_para_nao_usar_ia,5,preocupacoes_com_seguranca_e_privacidade_de_dados,587,163.0,27.8
motivos_para_nao_usar_ia,6,falta_de_confiabilidade_das_saidas_alucinacao_dos_modelos,587,100.0,17.0
motivos_para_nao_usar_ia,7,incerteza_em_relacao_a_regulamentacao,587,58.0,9.9
motivos_para_nao_usar_ia,8,preocupacoes_com_propriedade_intelectual,587,54.0,9.2
motivos_para_nao_usar_ia,9,alta_direcao_da_empresa_nao_ve_valor_ou_nao_ve_como_prioridade,587,44.0,7.5
