categoria,opcao,pct_2024_2025,pct_2025_2026,variacao_pp
criterios_para_escolher_emprego,remuneracao_salario,81.0,83.2,2.2
criterios_para_escolher_emprego,plano_de_carreira_e_oportunidades_de_crescimento,31.7,32.3,0.6
criterios_para_escolher_emprego,qualidade_dos_gestores_e_lideres,7.7,8.1,0.4
criterios_para_escolher_emprego,ambiente_e_clima_de_trabalho,21.2,21.4,0.2
criterios_para_escolher_emprego,reputacao_que_a_empresa_tem_no_mercado,5.7,5.6,-0.1
criterios_para_escolher_emprego,oportunidade_de_aprendizado_e_trabalhar_com_referencias,24.2,23.7,-0.5
criterios_para_escolher_emprego,proposito_do_trabalho_e_da_empresa,16.4,15.7,-0.7
criterios_para_escolher_emprego,beneficios,25.4,24.5,-0.9
criterios_para_escolher_emprego,flexibilidade_de_trabalho_remoto,57.7,56.6,-1.1
criterios_para_escolher_emprego,maturidade_da_empresa_em_termos_de_tecnologia_e_dados,13.0,10.8,-2.2
desafios_como_gestor,gestao_de_projetos_envolvendo_areas_multidisciplinares,20.9,29.1,8.2
desafios_como_gestor,dividir_o_tempo_entre_entregas_tecnicas_e_gestao,30.5,36.3,5.8
desafios_como_gestor,garantir_a_manutencao_dos_projetos_e_modelos_em_producao,14.9,20.4,5.5
desafios_como_gestor,gestao_de_equipes_no_ambiente_remoto,9.7,11.8,2.1
desafios_como_gestor,desenvolver_e_manter_modelos_machine_learning_em_producao,5.3,4.0,-1.3
desafios_como_gestor,processar_e_armazenar_um_alto_volume_de_dados,5.7,4.1,-1.6
desafios_como_gestor,gerenciar_a_expectativa_das_areas,35.1,33.3,-1.8
desafios_como_gestor,gerar_valor_para_as_areas_de_negocios,27.2,23.5,-3.7
desafios_como_gestor,conseguir_levar_inovacao_para_a_empresa,23.3,18.7,-4.6
desafios_como_gestor,organizar_as_informacoes_com_qualidade_e_confiabilidade,27.1,21.6,-5.5
desafios_como_gestor,reter_talentos,15.8,9.5,-6.3
desafios_como_gestor,contratar_talentos,16.5,8.4,-8.1
desafios_como_gestor,convencer_a_empresa_a_aumentar_investimentos,19.0,10.9,-8.1
desafios_como_gestor,garantir_roi_em_projetos_de_dados,25.1,13.5,-11.6
motivo_insatisfacao_profissional,gostaria_de_trabalhar_em_outra_area,17.1,19.8,2.7
motivo_insatisfacao_profissional,oportunidades_de_crescimento,34.1,34.9,0.8
motivo_insatisfacao_profissional,remuneracao_salario,44.6,45.3,0.7
motivo_insatisfacao_profissional,reputacao_que_a_empresa_tem_no_mercado,1.3,1.7,0.4
motivo_insatisfacao_profissional,beneficios,17.1,17.3,0.2
motivo_insatisfacao_profissional,flexibilidade_de_trabalho_remoto,16.6,16.0,-0.6
motivo_insatisfacao_profissional,proposito_do_trabalho_e_da_empresa,12.8,12.1,-0.7
motivo_insatisfacao_profissional,oportunidade_de_aprendizado_e_trabalhar_com_referencias,32.9,31.5,-1.4
motivo_insatisfacao_profissional,relacao_com_os_gestores_e_lideres,5.7,4.3,-1.4
motivo_insatisfacao_profissional,ambiente_e_clima_de_trabalho,13.8,12.0,-1.8
motivo_insatisfacao_profissional,maturidade_da_empresa_em_termos_de_tecnologia_e_dados,30.3,25.8,-4.5
motivos_para_nao_usar_ia,dados_da_empresa_nao_estao_prontos_para_uso_de_ia_generativa,29.7,36.8,7.1
motivos_para_nao_usar_ia,falta_de_expertise_ou_falta_de_recursos,33.7,38.8,5.1
motivos_para_nao_usar_ia,retorno_sobre_investimento_roi_nao_comprovado_de_ia_generativa,25.6,28.4,2.8
motivos_para_nao_usar_ia,falta_de_confiabilidade_das_saidas_alucinacao_dos_modelos,17.8,17.0,-0.8
motivos_para_nao_usar_ia,alta_direcao_da_empresa_nao_ve_valor_ou_nao_ve_como_prioridade,9.0,7.5,-1.5
motivos_para_nao_usar_ia,falta_de_compreensao_dos_casos_de_uso,34.3,32.0,-2.3
motivos_para_nao_usar_ia,incerteza_em_relacao_a_regulamentacao,12.7,9.9,-2.8
motivos_para_nao_usar_ia,preocupacoes_com_propriedade_intelectual,12.6,9.2,-3.4
motivos_para_nao_usar_ia,preocupacoes_com_seguranca_e_privacidade_de_dados,32.2,27.8,-4.4
